"player_names","player_ids"
"Joakim Maehle",363652
"Pietro Ceccaroni",142371
"Liam Henderson",135481
"Lassana Coulibaly",288894
"Marco Silvestri",81109
"Gaetano Castrovilli",239016
"Alessandro Deiola",130368
"Dejan Kulusevski",355855
"Jean-Victor Makengo",300634
"Ardian Ismajli",366671
"Adam Ounas",297577
"Jeremy Toljan",129620
"Joseph Alfred Duncan",113762
"Arturo Vidal",25008
"Vlad Chiriches",76921
"Ignacio Pussetto",134698
"Cedric Gondo",425444
"Zinho Vanheusden",337826
"Caleb Ekuban",124209
"Franck Ribéry",9016
"Luca Ceppitelli",93211
"Salvador Ferrer",402125
"Charalampos Lykogiannis",120218
"Mert Müldür",363661
"Lorenzo Montipò",142425
"Isaac Success",145940
"Moise Kean",328990
"Diego Demme",133886
"Manuel Lazzari",287086
"Giulio Maggiore",322116
"Nicola Sansone",83651
"Kevin Bonifazi",281433
"Jacopo Sala",93818
"José Callejón",67206
"Luca Ranieri",355869
"Giangiacomo Magnani",362552
"Viktor Kovalenko",255776
"Filippo Bandinelli",296651
"Dalbert",322748
"Kaan Ayhan",129171
"Matías Vecino",135625
"Andrea Carboni",390493
"Fabio Quagliarella",9730
"Youssef Maleh",323678
"Bosko Sutalo",395600
"M'Bala Nzola",343368
"Kristjan Asllani",423450
"Lazar Samardzic",393039
"Norbert Gyömbér",108117
"Federico Ceccherini",97203
"Domen Crnigoj",345549
"Álvaro Odriozola",317354
"Keita Baldé",136294
"Yayah Kallon",416184
"Kristoffer Askildsen",363898
"Tyronne Ebuehi",232248
"Stefano Sturaro",97265
"Karol Linetty",141736
"Nadir Zortea",423508
"Mato Jajalo",29244
"Eldor Shomurodov",262707
"Kevin Lasagna",294169
"Andrea Petagna",122296
"Andreas Skov Olsen",377276
"Patric",140261
"Pasquale Mazzocchi",423857
"Patrick Cutrone",329681
"Leo Stulac",362544
"Gregoire Defrel",101767
"Andrea Schiavone",123922
"Francesco Di Tacchio",67832
"Matheus Henrique",348667
"Filippo Melegoni",332554
"Riccardo Marchizza",302501
"Toma Basic",343982
"Emanuel Vignato",332553
"Nikola Kalinic",25091
"Martín Cáceres",30635
"Pepe Reina",2987
"Vanja Milinkovic-Savic",149474
"Joel Obi",67432
"Brandon Soppy",398300
"Sofyan Amrabat",248144
"Dennis Johnsen",333251
"Daniel Bessa",122964
"Lorenzo Venuti",141902
"Felix Ohene-Gyan",426915
"Simy",135564
"Tanner Tessmann",393096
"Goran Pandev",6093
"Gabriele Zappa",371396
"Hernani",101958
"Wajdi Kechrida",377673
"Abdou Harroui",349895
"Nicola Murru",106275
"Karim Benzema",14296
"Vinícius Júnior",337782
"Nabil Fekir",134893
"Casemiro",88526
"Joselu",74603
"Mikel Merino",238916
"Memphis Depay",110154
"Daniel Parejo",28186
"Iker Muniain",77922
"Iago Aspas",91242
"Toni Kroos",31772
"Gonçalo Guedes",247995
"Raúl de Tomás",149121
"Óscar Trejo",16942
"David García",240874
"Marcos Acuña",303729
"Sergio Busquets",44721
"Javi Galán",369497
"Yannick Carrasco",115472
"Frenkie de Jong",279423
"Mathías Olivera",347178
"Etienne Capoue",33590
"Carlos Soler",313542
"Mauro Arambarri",303016
